,116,119,120,127,128,137,143,144,146,147,150,151,152,153,157,160,161,164,167,168,173,174,195,2000,2001,2002,2003,2004,2005,2006,2008,2009,2010,2012,2017,2021,2022,2023,212,216,217,218,223,224,225,228,229,232,233,236,237,238,239,241,242,243,244,245,247,248,249,250,251,252,253,254,257,258,259,260,261,262,263,264,265,266,267,268,270,271,274,275,276,278,279,280,281,282,284,285,289,290,291,293,294,295,296,297,298,300,3002,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,334,335,336,337,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,372,373,375,376,377,379,380,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,414,415,416,417,418,419,420,421,422,423,426,427,428,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,492,493,494,495,496,497,498,499,500,501,502,503,504,505,507,508,509,510,511,512,513,514,515,516,517,518,519,520,521,522,523,524,525,526,527,528,529,531,532,533,534,536,537,538,539,540,545,546,72,79,82,83
116,46,0,0,27,16,7,1,0,4,13,0,14,7,17,0,5,18,3,2,90,8,8,6,0,0,0,14,8,0,5,1,0,7,2,0,13,13,1,109,0,0,2,11,0,9,6,8,0,0,15,10,22,0,0,1,21,0,0,24,3,1,5,11,23,19,15,2,0,1,6,0,0,9,2,9,0,9,3,0,0,1,0,5,0,0,11,7,0,21,15,0,4,0,17,18,1,1,19,0,10,9,5,0,15,3,7,4,3,0,3,0,2,6,0,1,1,3,5,61,9,3,0,0,12,0,49,8,5,14,3,0,2,0,28,18,17,0,0,0,0,0,0,0,22,40,17,15,0,4,2,7,0,0,3,0,15,40,2,3,2,5,16,0,0,1,3,38,23,0,0,14,2,3,13,33,40,18,0,3,3,2,51,0,0,0,1,4,14,0,0,0,0,0,0,3,92,9,22,22,0,0,0,0,8,1,3,0,9,0,4,1,0,0,0,24,10,18,1,3,1,0,2,9,31,137,0,0,6,10,5,3,70,0,33,4,93,16,31,6,17,43,3,4,4,27,18,160,0,2,139,31,0,5,37,0,7,7,20,0,29,3,35,24,10,53,13,11,2,0,39,9,6,6,26,10,33,35,46,6,2,102,13,17,90,18,20,1,3,1,22,10,25,16,7,70,4,3,48,17,15,15,1,31,8,73,8,245,1,80,8,14,1,9,5,24,2,3,5,1,15,19,3,3,16,7,11,13,8,0,11
119,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,14,4,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,23,3,1,0,0,0,0,0,2,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,5,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,1,0,0,0,0,1,2,6,0,0,0,0,0,0,1,0,0,4,0,0,6,3,0,0,0,0,1,3,1,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,1,6,0,0,0,2,0,0,0,0,1,3,0,1,0,3,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,20,0,0,0,4,19,2,0,3,1,0,0,0,0,1,0,2,0,2,10,0,0,1,2,0,0,0,0,0,0,1,16,8,4,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,6,0,0,1,1,0,0,0,2,39,0,0,0,0,0,11,0,0,0,2,3,1,0,0,0,0,1,22,1,0,0,0,0,0,0,0,9,8,0,0,0,0,1,0,0,0,0,6,13,7,0,1,0,1,3,5,0,1,0,0,0,0,19,0,1,1,0,2,1,1,2,0,0,1,5,2,1,8,0,8,0,0,0,0,1,0,0,5,0,0,0,2,3,3,0,3,0,9,1,1,0,1,0,1,0,1,0,2,1,1,5,3,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,17
127,48,0,0,52,25,1,1,0,11,18,1,29,19,11,0,3,36,0,3,42,7,1,17,0,0,0,6,33,0,4,3,3,24,3,0,14,0,1,45,0,0,0,30,8,8,7,35,0,0,8,17,12,0,0,0,3,2,0,17,17,18,8,19,18,13,19,9,0,2,3,0,0,10,3,9,2,2,5,0,1,0,0,22,0,0,43,7,3,149,29,0,7,0,35,75,3,2,5,0,18,30,23,6,48,10,1,5,4,2,4,1,2,8,3,0,0,11,4,9,16,7,0,0,19,0,8,8,47,30,31,3,0,0,25,22,87,1,0,0,3,1,0,0,52,42,25,36,0,5,1,0,0,0,17,0,8,26,2,14,5,5,10,0,0,2,1,92,63,0,0,89,10,28,5,54,74,24,0,1,1,0,9,2,0,1,0,1,5,0,0,0,1,0,0,4,22,16,68,47,2,1,0,0,2,0,1,0,3,0,15,0,0,0,0,18,2,67,12,8,0,0,5,12,9,45,0,0,9,28,0,5,17,0,13,14,20,21,7,3,17,34,1,4,3,8,12,49,2,1,37,21,0,2,11,6,2,5,42,0,3,3,4,34,7,4,7,6,5,0,26,24,9,4,17,0,13,10,13,2,4,18,9,12,23,1,8,4,0,0,1,11,5,2,17,31,1,9,6,3,26,10,0,12,10,13,4,92,7,13,0,5,0,2,8,8,6,4,0,13,3,26,3,1,15,13,6,8,27,0,7
128,34,0,0,48,109,1,1,0,21,32,5,122,14,3,1,6,14,0,4,47,2,9,10,1,0,3,10,15,0,1,2,1,49,2,0,17,18,0,8,0,0,1,21,3,12,0,56,3,0,11,20,33,0,0,0,3,2,0,24,12,9,30,23,27,17,48,38,0,0,14,4,0,14,5,29,1,1,39,0,1,1,0,15,0,0,40,5,0,58,30,0,3,2,65,45,2,2,6,1,25,18,19,3,31,9,3,13,7,6,17,1,14,21,0,2,4,9,20,9,9,12,0,1,61,3,9,20,24,30,24,2,4,5,12,3,18,0,0,3,1,12,0,0,69,28,61,23,20,8,1,6,1,0,15,20,17,60,4,5,16,9,8,0,12,1,1,57,33,1,0,39,7,21,5,30,73,53,0,1,5,13,10,0,0,1,0,9,17,0,1,0,1,0,2,37,24,34,34,40,1,1,1,0,20,2,10,0,3,0,11,1,0,1,0,5,4,62,5,28,3,0,21,8,12,93,0,0,19,21,0,5,4,0,22,18,18,6,1,5,5,10,2,22,3,7,22,37,0,3,27,14,1,18,27,4,2,0,8,1,15,33,6,21,6,4,2,3,1,1,23,16,2,2,8,5,6,13,0,2,22,13,1,11,32,11,7,3,1,13,3,11,7,7,11,19,7,9,2,5,18,9,3,18,1,10,1,25,4,16,10,2,4,2,1,4,37,11,5,2,8,14,0,6,20,3,10,19,23,3,1
137,1,0,0,0,1,34,0,0,2,1,0,1,0,19,0,7,3,6,8,6,17,0,0,0,0,1,4,0,0,6,0,0,0,0,9,6,8,18,5,0,0,0,2,1,0,22,0,0,0,3,1,0,0,0,0,3,0,0,4,0,1,0,3,1,0,2,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,6,11,0,4,8,0,23,0,4,1,0,1,9,0,3,6,0,0,5,0,18,0,2,0,0,0,2,1,0,0,1,0,0,101,1,0,0,0,0,0,2,8,1,1,3,1,6,4,11,1,3,0,0,0,0,0,0,0,5,4,2,0,0,3,0,10,0,0,1,0,0,0,37,0,0,1,0,0,0,0,17,0,2,0,0,2,0,0,14,2,4,0,0,28,0,0,10,1,0,0,0,0,1,0,0,0,0,0,0,1,5,3,3,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,12,5,0,1,0,0,0,7,1,5,0,0,1,1,14,30,7,0,10,3,6,7,1,10,14,1,2,5,10,44,2,15,0,1,2,3,37,8,3,0,36,17,2,0,6,0,12,8,16,31,4,40,15,0,4,0,13,24,10,0,13,0,20,41,7,1,8,1,5,19,40,11,31,1,1,2,2,2,8,9,18,5,9,18,2,8,4,19,18,9,13,25,11,10,9,2,7,13,23,62,0,0,4,0,1,7,9,0,5,7,7,6,1,0,0
143,1,1,0,2,1,0,14,0,1,1,0,9,1,0,40,0,0,0,1,2,0,0,4,39,0,2,0,1,0,0,0,0,2,1,0,0,0,0,1,8,6,2,0,2,0,0,3,7,7,0,0,0,0,1,2,0,2,2,0,1,2,0,0,0,3,0,0,1,0,0,3,1,0,0,0,0,0,7,4,8,5,0,0,3,0,0,0,0,0,1,0,0,1,5,0,0,1,0,4,4,0,0,0,1,0,0,0,2,1,0,14,0,0,3,6,0,1,1,0,3,5,0,7,6,0,0,2,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,9,1,0,0,0,0,2,0,3,0,0,0,1,0,5,0,0,1,2,4,0,0,0,0,0,0,0,1,0,1,1,0,2,0,3,20,4,3,5,30,2,0,0,18,2,0,23,3,0,0,0,0,0,0,72,5,0,1,0,0,5,19,0,9,4,0,0,1,0,0,1,0,0,1,6,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,3,0,1,5,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,7
144,1,0,1,0,0,0,0,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,6,0,0,1,0,0,0,2,0,0,0,0,4,5,2,1,1,1,0,0,0,0,0,0,3,0,1,2,0,0,2,12,1,0,0,0,0,0,3,19,4,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,2,2,0,0,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,5,0,1,2,1,1,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,1,0,0,0,0,1,0,0,0,0,0,18,2,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,0,0,0,0,7,0,0,0,0,0,0,2
146,5,0,0,24,14,0,0,0,19,19,2,31,2,0,6,0,5,2,0,15,1,0,20,0,0,1,0,18,0,2,8,8,16,0,0,4,2,0,7,0,1,0,0,14,3,0,7,0,1,2,3,8,0,1,0,0,0,0,9,61,56,5,2,1,2,7,15,0,0,3,0,0,15,3,4,1,1,10,0,0,0,0,7,0,0,3,0,0,7,1,0,0,3,6,3,2,8,1,0,2,39,1,5,11,10,2,11,8,18,10,0,1,5,0,0,2,13,2,1,12,31,0,0,10,0,2,3,39,34,75,17,0,1,5,0,4,0,0,10,0,2,0,0,0,12,44,30,4,5,5,3,0,0,36,1,2,15,13,8,6,2,25,0,0,0,0,15,4,0,0,4,8,29,1,8,4,6,0,0,19,32,5,1,0,0,0,0,2,1,1,0,0,0,0,3,3,4,10,6,1,1,0,0,2,0,0,0,7,0,24,0,0,0,0,3,0,19,0,2,0,0,2,0,3,1,0,0,5,4,0,1,2,0,1,2,3,3,3,1,2,2,0,0,0,6,6,4,0,1,10,2,0,4,2,1,3,0,4,0,2,4,0,0,3,0,5,2,1,0,3,3,0,0,1,0,4,1,1,0,0,8,1,0,0,0,5,0,0,4,1,1,2,2,2,7,0,0,0,0,0,1,0,2,1,1,0,10,1,3,1,2,0,0,0,1,2,0,0,1,1,1,0,0,1,0,0,0,37,1,2
