,count
"(-73.98295684393185, 40.68969981904447, -73.98276720165289, 40.689986480906136)",682
"(-73.98889162249422, 40.692301247554795, -73.98893356281361, 40.692086641340495)",653
"(-73.98889162249422, 40.692301247554795, -73.98888911404094, 40.692345784883194)",653
"(-73.98893356281361, 40.692086641340495, -73.98920133231314, 40.69104036065628)",653
"(-73.98922003665355, 40.690965971020994, -73.98920133231314, 40.69104036065628)",653
"(-73.98982218249625, 40.69038688782855, -73.9897369008372, 40.6903599729204)",485
"(-73.98982218249625, 40.69038688782855, -73.99174170643144, 40.6909926366798)",382
"(-73.98982218249625, 40.69038688782855, -73.98943340292409, 40.69102780112982)",103
"(-73.98276720165289, 40.689986480906136, -73.981574203679, 40.68993518294305)",682
"(-73.9790571080391, 40.6867135978043, -73.97819812514417, 40.68681921710018)",691
"(-73.97819812514417, 40.68681921710018, -73.97736135217022, 40.686918638821126)",839
"(-73.97819812514417, 40.68681921710018, -73.97829143516351, 40.68745187074293)",192
"(-73.97736135217022, 40.686918638821126, -73.9768371239328, 40.68696743958817)",839
"(-73.97654657337922, 40.686997227360436, -73.97620585740891, 40.68702540472503)",978
"(-73.97654657337922, 40.686997227360436, -73.9768371239328, 40.68696743958817)",839
"(-73.97620585740891, 40.68702540472503, -73.9755899604274, 40.68708637557434)",978
"(-73.9755899604274, 40.68708637557434, -73.9746165714454, 40.68719070560144)",978
"(-73.9746165714454, 40.68719070560144, -73.97364817929127, 40.687302610862794)",978
"(-73.97829143516351, 40.68745187074293, -73.97834701311282, 40.68787174294024)",192
"(-74.00945463906447, 40.70452785663336, -74.00890108872841, 40.7048618464718)",337
"(-74.00945463906447, 40.70452785663336, -74.00974639348551, 40.704775247847756)",2449
"(-74.00890108872841, 40.7048618464718, -74.00800726930723, 40.70544646204445)",337
"(-74.00998418639004, 40.705147733060706, -74.009995205654, 40.70533123833425)",2449
"(-74.00998418639004, 40.705147733060706, -74.00974639348551, 40.704775247847756)",2449
"(-74.009995205654, 40.70533123833425, -74.00986580839657, 40.7057964266945)",2449
"(-74.0122458263306, 40.70123546300999, -74.01113583814562, 40.70149630457577)",3687
"(-74.0122458263306, 40.70123546300999, -74.01234989229437, 40.701210544630904)",3687
"(-74.01113583814562, 40.70149630457577, -74.01107444420241, 40.701480987388386)",3687
"(-74.01107444420241, 40.701480987388386, -74.01022809486116, 40.70168657603422)",3687
"(-74.00771638021054, 40.70287138882857, -74.00767172344972, 40.70295160129592)",3687
"(-74.00771638021054, 40.70287138882857, -74.00917397216124, 40.701986597469876)",3687
"(-74.00767172344972, 40.70295160129592, -74.00763657929971, 40.70300436821806)",3687
"(-74.00763657929971, 40.70300436821806, -74.00756901047977, 40.703103777470034)",3687
"(-74.01234989229437, 40.701210544630904, -74.01238039347712, 40.70129794774553)",2200
"(-74.01239922996334, 40.701357845070675, -74.01238039347712, 40.70129794774553)",2200
"(-74.01239922996334, 40.701357845070675, -74.01244236941693, 40.70140681295586)",2200
"(-74.01244236941693, 40.70140681295586, -74.01251220220324, 40.70142691471766)",2200
"(-74.0130457961875, 40.70227493595275, -74.01290278698426, 40.70214884349437)",2200
"(-74.0130457961875, 40.70227493595275, -74.01344739763736, 40.70225350617986)",2200
"(-74.01290278698426, 40.70214884349437, -74.012795729745, 40.70174875441994)",2200
"(-74.012795729745, 40.70174875441994, -74.01267027113012, 40.70153692647523)",2200
"(-74.01267027113012, 40.70153692647523, -74.0125824870672, 40.70144721179867)",2200
"(-74.01344739763736, 40.70225350617986, -74.0136568802192, 40.702247630889744)",2200
"(-74.0136568802192, 40.702247630889744, -74.01381944085706, 40.702236690979944)",2200
"(-74.01381944085706, 40.702236690979944, -74.014279757076, 40.702291252636186)",2645
"(-74.0125824870672, 40.70144721179867, -74.01251220220324, 40.70142691471766)",2200
"(-74.00756901047977, 40.703103777470034, -74.0068420485535, 40.70355430665909)",3687
"(-74.00917397216124, 40.701986597469876, -74.01022809486116, 40.70168657603422)",3687
"(-74.00986580839657, 40.7057964266945, -74.00950278978388, 40.706378907998484)",2449
"(-74.00950278978388, 40.706378907998484, -74.00900515682534, 40.70693892196113)",2449
"(-74.00900515682534, 40.70693892196113, -74.0086453788268, 40.70734001924901)",4211
"(-74.00800726930723, 40.70544646204445, -74.00794861251617, 40.705546187847375)",337
"(-74.0086453788268, 40.70734001924901, -74.0082689573427, 40.70772193569955)",4211
"(-74.0082689573427, 40.70772193569955, -74.0080042598509, 40.70797679096739)",4211
"(-74.0080042598509, 40.70797679096739, -74.00764028920646, 40.70834524092173)",4211
"(-74.00794861251617, 40.705546187847375, -74.00745217354931, 40.7060510927825)",337
"(-74.00745217354931, 40.7060510927825, -74.00712975116878, 40.706375054158364)",337
"(-74.00712975116878, 40.706375054158364, -74.00678098830687, 40.70672380724827)",337
"(-74.00678098830687, 40.70672380724827, -74.00645561953817, 40.70698201154764)",2281
"(-74.00645561953817, 40.70698201154764, -74.00595100503939, 40.70720573474398)",2281
"(-74.00610141028952, 40.70402282147648, -74.00593163446472, 40.70412920868822)",5652
"(-74.00610141028952, 40.70402282147648, -74.00622259306684, 40.703945325063174)",5652
"(-74.00593163446472, 40.70412920868822, -74.00589320789075, 40.70413793842054)",5652
"(-74.00622259306684, 40.703945325063174, -74.0068420485535, 40.70355430665909)",5652
"(-74.00589320789075, 40.70413793842054, -74.00519048521085, 40.70450607527523)",5652
"(-74.00467079995508, 40.70485726191835, -74.00433662315054, 40.70507245311935)",5652
"(-74.00467079995508, 40.70485726191835, -74.00519048521085, 40.70450607527523)",5652
"(-74.00433662315054, 40.70507245311935, -74.00401725727167, 40.705274652049646)",5652
"(-74.00595100503939, 40.70720573474398, -74.00683778761535, 40.70785783570158)",2281
"(-74.00683778761535, 40.70785783570158, -74.00653116885151, 40.70822712611425)",2281
"(-74.00764028920646, 40.70834524092173, -74.00728273387183, 40.70870950912911)",4211
"(-74.00728273387183, 40.70870950912911, -74.00712782443247, 40.70886251385401)",5596
"(-74.00653116885151, 40.70822712611425, -74.00601167562942, 40.70866784654)",2281
"(-74.00601167562942, 40.70866784654, -74.00551252957787, 40.70909340802247)",2281
"(-74.00551252957787, 40.70909340802247, -74.00514773155669, 40.70942552436767)",2281
"(-73.99526015203637, 40.70281020882698, -73.99470923334248, 40.70299388651766)",1012
"(-73.99526015203637, 40.70281020882698, -73.99542718300009, 40.70286405448052)",1012
"(-73.99470923334248, 40.70299388651766, -73.9943829782294, 40.70288600055763)",1012
"(-73.99542718300009, 40.70286405448052, -73.99574544730132, 40.702758722117295)",1012
"(-74.00401725727167, 40.705274652049646, -74.00392834719416, 40.70538044360342)",5652
"(-74.00392834719416, 40.70538044360342, -74.00363496673508, 40.70556369471497)",5652
"(-74.00363496673508, 40.70556369471497, -74.00350886266804, 40.70564420795244)",5652
"(-74.00350886266804, 40.70564420795244, -74.00327528119793, 40.70582437024985)",5652
"(-74.00696369104807, 40.709026895081614, -74.00643549103394, 40.70955732140049)",5596
"(-74.00696369104807, 40.709026895081614, -74.00706700438451, 40.70892443674376)",5596
"(-74.00643549103394, 40.70955732140049, -74.006090317832, 40.709912582744785)",5596
"(-73.99669768962623, 40.70087697712274, -73.99574544730132, 40.702758722117295)",1012
"(-73.99669768962623, 40.70087697712274, -73.9967395270275, 40.70071808837722)",1012
"(-74.00328543929547, 40.70583405045801, -74.00327528119793, 40.70582437024985)",5652
"(-74.00328543929547, 40.70583405045801, -74.0029601901373, 40.7060349975937)",5652
"(-74.0029601901373, 40.7060349975937, -74.00263900207327, 40.706223527461404)",5652
"(-74.00712782443247, 40.70886251385401, -74.00706700438451, 40.70892443674376)",5596
"(-74.0096897535374, 40.71495099290173, -74.00923907482874, 40.71552016777003)",3302
"(-74.0096897535374, 40.71495099290173, -74.01012319327008, 40.71514594760646)",8234
"(-74.0096897535374, 40.71495099290173, -74.00838690815759, 40.71436229378299)",5609
"(-74.00923907482874, 40.71552016777003, -74.0088232834631, 40.71601382407795)",3302
"(-74.0088232834631, 40.71601382407795, -74.00920540202151, 40.7161879528297)",4348
"(-74.0088232834631, 40.71601382407795, -74.0083783130103, 40.71658749130448)",2761
"(-74.0088232834631, 40.71601382407795, -74.00754375953517, 40.71543282477928)",5853
"(-74.00838690815759, 40.71436229378299, -74.00793943373878, 40.71492697252897)",2259
"(-74.00838690815759, 40.71436229378299, -74.00678194883704, 40.713606152648495)",7868
"(-74.00793943373878, 40.71492697252897, -74.00754375953517, 40.71543282477928)",2259
