,count
"(-74.01292792580078, 40.67732999734482, -74.01230404211701, 40.67786297229144)",670
"(-74.01230404211701, 40.67786297229144, -74.01167952233229, 40.67839360254641)",670
"(-74.00898332118193, 40.67196815773068, -74.00912811645168, 40.67175821011781)",167
"(-74.00898332118193, 40.67196815773068, -74.0086280170476, 40.672664392124425)",167
"(-74.00912811645168, 40.67175821011781, -74.00982455709726, 40.67193240065016)",167
"(-74.0086280170476, 40.672664392124425, -74.00834130627216, 40.673297871618665)",269
"(-74.00834130627216, 40.673297871618665, -74.00664999463368, 40.672802949746284)",269
"(-74.00664999463368, 40.672802949746284, -74.00507901800565, 40.672363821569554)",269
"(-74.01167952233229, 40.67839360254641, -74.01105454214019, 40.67892540008934)",670
"(-74.01105454214019, 40.67892540008934, -74.0104278017604, 40.679459760827726)",670
"(-74.0104278017604, 40.679459760827726, -74.0098052973035, 40.679990668785656)",670
"(-74.00507901800565, 40.672363821569554, -74.00324168663221, 40.67185224228774)",496
"(-74.00324168663221, 40.67185224228774, -74.00121990408616, 40.67131290977163)",113
"(-74.00324168663221, 40.67185224228774, -74.0029102125256, 40.672534418424206)",383
"(-74.00549809675486, 40.684325958076045, -74.0058192546913, 40.68365655427884)",670
"(-74.00549809675486, 40.684325958076045, -74.0051788806772, 40.68499519603984)",670
"(-74.0058192546913, 40.68365655427884, -74.00596041075583, 40.6833628714425)",670
"(-74.00121990408616, 40.67131290977163, -73.99996327714682, 40.67097956347766)",113
"(-73.99996327714682, 40.67097956347766, -73.99965926029755, 40.67162708750218)",113
"(-74.0029102125256, 40.672534418424206, -74.00260810959696, 40.67318223913758)",383
"(-74.00260810959696, 40.67318223913758, -74.00229347570239, 40.67383738764887)",383
"(-74.00229347570239, 40.67383738764887, -74.0021957461331, 40.673876327824665)",383
"(-73.99965926029755, 40.67162708750218, -73.99934695849022, 40.67227260157711)",113
"(-73.99934695849022, 40.67227260157711, -73.99916167322917, 40.67223906519065)",113
"(-73.99916167322917, 40.67223906519065, -73.99906486592292, 40.672333349284635)",113
"(-74.00132421164997, 40.67571223891586, -74.00133729257621, 40.67567803721193)",434
"(-74.00132421164997, 40.67571223891586, -74.00131039746167, 40.67575045782299)",434
"(-74.00133729257621, 40.67567803721193, -74.00140309034917, 40.675538371982505)",434
"(-74.0021957461331, 40.673876327824665, -74.00214853978879, 40.67397737370359)",383
"(-74.0016160595481, 40.67508631433326, -74.00080909824769, 40.67487608863167)",20
"(-74.0016160595481, 40.67508631433326, -74.00164250269819, 40.67503235870913)",454
"(-74.0016160595481, 40.67508631433326, -74.00140309034917, 40.675538371982505)",434
"(-74.00080909824769, 40.67487608863167, -74.00062831120819, 40.67482495852469)",20
"(-73.99898242869834, 40.67241358358645, -73.99906486592292, 40.672333349284635)",113
"(-73.99898242869834, 40.67241358358645, -73.99891277678674, 40.67248076138065)",113
"(-73.99891277678674, 40.67248076138065, -73.99881832242767, 40.67257410785038)",113
"(-74.00131039746167, 40.67575045782299, -74.00129096519822, 40.675797986313526)",434
"(-74.01100637147701, 40.672227978729495, -74.01173329192078, 40.67269448181156)",167
"(-74.01100637147701, 40.672227978729495, -74.00982455709726, 40.67193240065016)",167
"(-74.01173329192078, 40.67269448181156, -74.01244115447139, 40.67314874343735)",167
"(-74.00062831120819, 40.67482495852469, -74.00045011468082, 40.67476942460533)",20
"(-74.00045011468082, 40.67476942460533, -74.0003561553709, 40.67474573328763)",20
"(-74.0003561553709, 40.67474573328763, -74.00013621940334, 40.674688307021334)",20
"(-74.00164250269819, 40.67503235870913, -74.00169391402974, 40.674927451580984)",454
"(-74.00169391402974, 40.674927451580984, -74.00192453388962, 40.67445686767263)",454
"(-74.00192453388962, 40.67445686767263, -74.00210501734045, 40.6740705381874)",383
"(-74.00210501734045, 40.6740705381874, -74.00214853978879, 40.67397737370359)",383
"(-74.01739796592196, 40.70845740998238, -74.01695833805474, 40.70905766172049)",5878
"(-74.01695833805474, 40.70905766172049, -74.01676485998686, 40.7093330258103)",5878
"(-74.01676485998686, 40.7093330258103, -74.01638142250701, 40.71007837180698)",5878
"(-74.01638142250701, 40.71007837180698, -74.01597926657278, 40.71108458623012)",342
"(-74.01638142250701, 40.71007837180698, -74.01521226901758, 40.70982972647772)",5536
"(-74.01706855760327, 40.70473099931219, -74.01684600650113, 40.704634885379704)",5089
"(-74.01706855760327, 40.70473099931219, -74.01704963760685, 40.70483662941912)",5089
"(-74.01684600650113, 40.704634885379704, -74.0167703433133, 40.70463219129162)",5089
"(-74.01704963760685, 40.70483662941912, -74.01669907442812, 40.70572823220991)",5089
"(-74.01669907442812, 40.70572823220991, -74.01642753723138, 40.70647764714563)",12341
"(-74.01642753723138, 40.70647764714563, -74.01620424871123, 40.70708727002185)",12341
"(-74.01620424871123, 40.70708727002185, -74.01589242648716, 40.70778875591472)",12341
"(-74.01589242648716, 40.70778875591472, -74.01543085526136, 40.70909728747892)",12341
"(-74.01521226901758, 40.70982972647772, -74.01496257961168, 40.710943186880726)",16503
"(-74.01521226901758, 40.70982972647772, -74.01543085526136, 40.70909728747892)",12341
"(-74.01508896610736, 40.71129592657811, -74.01461906258014, 40.71247013250396)",16503
"(-74.01508896610736, 40.71129592657811, -74.01516753240912, 40.711183306479256)",16503
"(-74.01461906258014, 40.71247013250396, -74.01454327378904, 40.71252875634058)",16503
"(-74.01660292148038, 40.71206606188914, -74.01658398687522, 40.71212906614689)",342
"(-74.01660292148038, 40.71206606188914, -74.01578577480306, 40.71156888060502)",342
"(-74.01658398687522, 40.71212906614689, -74.01639753217074, 40.7128977912469)",342
"(-74.01496257961168, 40.710943186880726, -74.01516753240912, 40.711183306479256)",16503
"(-74.01578577480306, 40.71156888060502, -74.01597926657278, 40.71108458623012)",342
"(-73.98630926847324, 40.67707840436804, -73.98699859921716, 40.676285446042925)",30
"(-73.98630926847324, 40.67707840436804, -73.98586016372549, 40.677708881397606)",30
"(-73.98699859921716, 40.676285446042925, -73.98747868639666, 40.675707377801956)",30
"(-73.99776979507268, 40.674741487908165, -73.99666043533924, 40.67414278070709)",30
"(-73.99776979507268, 40.674741487908165, -73.99807658786466, 40.67411460896819)",133
"(-73.99776979507268, 40.674741487908165, -73.99744702777404, 40.67540002863195)",103
"(-73.99666043533924, 40.67414278070709, -73.99631939541817, 40.67403403581914)",30
"(-73.99631939541817, 40.67403403581914, -73.99337906131427, 40.6726041536998)",30
"(-73.99337906131427, 40.6726041536998, -73.99102303839103, 40.67145846659621)",30
"(-73.98800399215746, 40.67507708237837, -73.98905604055847, 40.673816160146586)",30
"(-73.98800399215746, 40.67507708237837, -73.98747868639666, 40.675707377801956)",30
"(-73.98951103650522, 40.67327082449606, -73.99001383956131, 40.67266881995156)",30
"(-73.98951103650522, 40.67327082449606, -73.98905604055847, 40.673816160146586)",30
"(-73.99001383956131, 40.67266881995156, -73.99051727231378, 40.67206608470209)",30
"(-73.98850509955685, 40.67953715744013, -73.98820272280724, 40.679418484061586)",34
"(-73.98850509955685, 40.67953715744013, -73.98955883881523, 40.679945677176036)",34
"(-73.98820272280724, 40.679418484061586, -73.98739288377777, 40.67910379535718)",34
"(-73.98739288377777, 40.67910379535718, -73.98542920598878, 40.67834382547854)",34
