,count
"(-74.01739796592196, 40.70845740998238, -74.01695833805474, 40.70905766172049)",2051
"(-74.01695833805474, 40.70905766172049, -74.01676485998686, 40.7093330258103)",2051
"(-74.01676485998686, 40.7093330258103, -74.01638142250701, 40.71007837180698)",2051
"(-74.01638142250701, 40.71007837180698, -74.01597926657278, 40.71108458623012)",363
"(-74.01638142250701, 40.71007837180698, -74.01521226901758, 40.70982972647772)",1688
"(-74.01706855760327, 40.70473099931219, -74.01684600650113, 40.704634885379704)",1277
"(-74.01706855760327, 40.70473099931219, -74.01704963760685, 40.70483662941912)",1277
"(-74.01684600650113, 40.704634885379704, -74.0167703433133, 40.70463219129162)",1277
"(-74.01704963760685, 40.70483662941912, -74.01669907442812, 40.70572823220991)",1277
"(-74.01669907442812, 40.70572823220991, -74.01642753723138, 40.70647764714563)",2672
"(-74.01642753723138, 40.70647764714563, -74.01620424871123, 40.70708727002185)",2672
"(-74.01620424871123, 40.70708727002185, -74.01589242648716, 40.70778875591472)",2672
"(-74.01589242648716, 40.70778875591472, -74.01543085526136, 40.70909728747892)",2672
"(-74.01521226901758, 40.70982972647772, -74.01496257961168, 40.710943186880726)",4044
"(-74.01521226901758, 40.70982972647772, -74.01543085526136, 40.70909728747892)",2672
"(-74.01508896610736, 40.71129592657811, -74.01461906258014, 40.71247013250396)",4044
"(-74.01508896610736, 40.71129592657811, -74.01516753240912, 40.711183306479256)",4044
"(-74.01461906258014, 40.71247013250396, -74.01454327378904, 40.71252875634058)",4044
"(-74.01660292148038, 40.71206606188914, -74.01658398687522, 40.71212906614689)",363
"(-74.01660292148038, 40.71206606188914, -74.01578577480306, 40.71156888060502)",363
"(-74.01658398687522, 40.71212906614689, -74.01639753217074, 40.7128977912469)",363
"(-74.01496257961168, 40.710943186880726, -74.01516753240912, 40.711183306479256)",4044
"(-74.01578577480306, 40.71156888060502, -74.01597926657278, 40.71108458623012)",363
"(-74.00046846939843, 40.68965914592817, -73.99912517443754, 40.68927496657783)",354
"(-74.00046846939843, 40.68965914592817, -74.00054817407835, 40.68968074438672)",354
"(-73.99912517443754, 40.68927496657783, -73.99899055836752, 40.6892410611496)",354
"(-73.99874207800303, 40.68917701419464, -73.99720210531751, 40.688749369290534)",354
"(-73.99874207800303, 40.68917701419464, -73.9988609596335, 40.68920780308257)",354
"(-73.99720210531751, 40.688749369290534, -73.99687398712891, 40.68943280543719)",354
"(-73.99899055836752, 40.6892410611496, -73.99893047391078, 40.68922580591131)",354
"(-73.99893047391078, 40.68922580591131, -73.9988609596335, 40.68920780308257)",354
"(-74.00054817407835, 40.68968074438672, -74.00047690871405, 40.689762486994184)",354
"(-74.00068439003799, 40.691897815108035, -74.0007730577876, 40.69189575777485)",539
"(-74.00068439003799, 40.691897815108035, -73.99992106330963, 40.69167430257896)",539
"(-74.0007730577876, 40.69189575777485, -74.00179432019102, 40.69218477593522)",539
"(-74.00047690871405, 40.689762486994184, -73.99973054792906, 40.69134584825779)",354
"(-73.99973054792906, 40.69134584825779, -73.99992106330963, 40.69167430257896)",354
"(-74.00179432019102, 40.69218477593522, -74.0016998943102, 40.69238276685164)",539
"(-74.0016998943102, 40.69238276685164, -74.00161727547274, 40.692549071171584)",539
"(-74.00161727547274, 40.692549071171584, -74.00150636160558, 40.692772330543065)",539
"(-73.99687398712891, 40.68943280543719, -73.9965480514989, 40.690103525408944)",354
"(-73.99623278138093, 40.69075777436566, -73.9965480514989, 40.690103525408944)",355
"(-73.99623278138093, 40.69075777436566, -73.9959143567291, 40.691415489268564)",353
"(-73.9965480514989, 40.690103525408944, -73.99467753931718, 40.68958293943249)",591
"(-73.9959143567291, 40.691415489268564, -73.99508016968834, 40.693147214213084)",353
"(-73.99467753931718, 40.68958293943249, -73.9926855276102, 40.6890332467882)",426
"(-73.99467753931718, 40.68958293943249, -73.99436092810406, 40.69023947955109)",165
"(-73.9926855276102, 40.6890332467882, -73.99262286067041, 40.68916054835773)",426
"(-73.99436092810406, 40.69023947955109, -73.99404558824455, 40.69089726151881)",165
"(-73.99262286067041, 40.68916054835773, -73.99109339526466, 40.6885710361429)",426
"(-73.99109339526466, 40.6885710361429, -73.98961242294853, 40.68799183683174)",77
"(-73.99109339526466, 40.6885710361429, -73.99070669561522, 40.6891367440781)",349
"(-73.98961242294853, 40.68799183683174, -73.98916812738946, 40.68861555450313)",77
"(-73.99070669561522, 40.6891367440781, -73.99047488143682, 40.68914107460354)",349
"(-73.98615534286995, 40.68901797708176, -73.98398777598669, 40.688174644255284)",937
"(-73.98615534286995, 40.68901797708176, -73.98701244934406, 40.689358188282434)",937
"(-73.98398777598669, 40.688174644255284, -73.98181677450677, 40.68732980212478)",576
"(-73.98398777598669, 40.688174644255284, -73.9835726147043, 40.68878595330128)",361
"(-73.99047488143682, 40.68914107460354, -73.99009014930243, 40.68970407905045)",349
"(-73.99009014930243, 40.68970407905045, -73.98963949401971, 40.69032670823996)",349
"(-73.98963949401971, 40.69032670823996, -73.98830047361946, 40.68986942535661)",934
"(-73.98963949401971, 40.69032670823996, -73.98922003665355, 40.690965971020994)",303
"(-73.98963949401971, 40.69032670823996, -73.9897369008372, 40.6903599729204)",282
"(-73.98830047361946, 40.68986942535661, -73.98762313544235, 40.68960058190948)",937
"(-73.98830047361946, 40.68986942535661, -73.98872146819119, 40.68924580790641)",935
"(-73.98830047361946, 40.68986942535661, -73.98789201611842, 40.69046751298988)",672
"(-73.98762313544235, 40.68960058190948, -73.98701244934406, 40.689358188282434)",937
"(-73.98872146819119, 40.68924580790641, -73.98891557138668, 40.68897192212772)",935
"(-73.98916812738946, 40.68861555450313, -73.98891557138668, 40.68897192212772)",77
"(-73.98181677450677, 40.68732980212478, -73.9805331632042, 40.686891896616956)",576
"(-73.97981084452853, 40.68664684596194, -73.97936297639144, 40.68668200001036)",464
"(-73.97981084452853, 40.68664684596194, -73.9805331632042, 40.686891896616956)",576
"(-73.97936297639144, 40.68668200001036, -73.9790571080391, 40.6867135978043)",464
"(-73.98729894907962, 40.69223407563176, -73.98734787475522, 40.69145766769337)",672
"(-73.98729894907962, 40.69223407563176, -73.98725396375212, 40.69312490307784)",672
"(-73.98734787475522, 40.69145766769337, -73.98789201611842, 40.69046751298988)",672
"(-73.9835726147043, 40.68878595330128, -73.98295684393185, 40.68969981904447)",361
"(-73.98295684393185, 40.68969981904447, -73.98276720165289, 40.689986480906136)",361
"(-73.98889162249422, 40.692301247554795, -73.98893356281361, 40.692086641340495)",303
"(-73.98889162249422, 40.692301247554795, -73.98888911404094, 40.692345784883194)",303
"(-73.98893356281361, 40.692086641340495, -73.98920133231314, 40.69104036065628)",303
"(-73.98922003665355, 40.690965971020994, -73.98920133231314, 40.69104036065628)",303
"(-73.98982218249625, 40.69038688782855, -73.9897369008372, 40.6903599729204)",282
"(-73.98982218249625, 40.69038688782855, -73.99174170643144, 40.6909926366798)",212
"(-73.98982218249625, 40.69038688782855, -73.98943340292409, 40.69102780112982)",70
"(-73.98276720165289, 40.689986480906136, -73.981574203679, 40.68993518294305)",361
"(-73.9790571080391, 40.6867135978043, -73.97819812514417, 40.68681921710018)",464
"(-73.97819812514417, 40.68681921710018, -73.97736135217022, 40.686918638821126)",538
"(-73.97819812514417, 40.68681921710018, -73.97829143516351, 40.68745187074293)",88
"(-73.97736135217022, 40.686918638821126, -73.9768371239328, 40.68696743958817)",538
"(-73.97654657337922, 40.686997227360436, -73.97620585740891, 40.68702540472503)",627
"(-73.97654657337922, 40.686997227360436, -73.9768371239328, 40.68696743958817)",538
"(-73.97620585740891, 40.68702540472503, -73.9755899604274, 40.68708637557434)",627
"(-73.9755899604274, 40.68708637557434, -73.9746165714454, 40.68719070560144)",627
"(-73.9746165714454, 40.68719070560144, -73.97364817929127, 40.687302610862794)",627
"(-73.97829143516351, 40.68745187074293, -73.97834701311282, 40.68787174294024)",88
"(-74.00945463906447, 40.70452785663336, -74.00890108872841, 40.7048618464718)",192
"(-74.00945463906447, 40.70452785663336, -74.00974639348551, 40.704775247847756)",1343
"(-74.00890108872841, 40.7048618464718, -74.00800726930723, 40.70544646204445)",192
"(-74.00998418639004, 40.705147733060706, -74.009995205654, 40.70533123833425)",1343
"(-74.00998418639004, 40.705147733060706, -74.00974639348551, 40.704775247847756)",1343
"(-74.009995205654, 40.70533123833425, -74.00986580839657, 40.7057964266945)",1343
"(-74.0122458263306, 40.70123546300999, -74.01113583814562, 40.70149630457577)",2188
"(-74.0122458263306, 40.70123546300999, -74.01234989229437, 40.701210544630904)",2188
"(-74.01113583814562, 40.70149630457577, -74.01107444420241, 40.701480987388386)",2188
"(-74.01107444420241, 40.701480987388386, -74.01022809486116, 40.70168657603422)",2188
"(-74.00771638021054, 40.70287138882857, -74.00767172344972, 40.70295160129592)",2188
"(-74.00771638021054, 40.70287138882857, -74.00917397216124, 40.701986597469876)",2188
"(-74.00767172344972, 40.70295160129592, -74.00763657929971, 40.70300436821806)",2188
"(-74.00763657929971, 40.70300436821806, -74.00756901047977, 40.703103777470034)",2188
"(-74.01234989229437, 40.701210544630904, -74.01238039347712, 40.70129794774553)",1033
"(-74.01239922996334, 40.701357845070675, -74.01238039347712, 40.70129794774553)",1033
"(-74.01239922996334, 40.701357845070675, -74.01244236941693, 40.70140681295586)",1033
"(-74.01244236941693, 40.70140681295586, -74.01251220220324, 40.70142691471766)",1033
"(-74.0130457961875, 40.70227493595275, -74.01290278698426, 40.70214884349437)",1033
"(-74.0130457961875, 40.70227493595275, -74.01344739763736, 40.70225350617986)",1033
"(-74.01290278698426, 40.70214884349437, -74.012795729745, 40.70174875441994)",1033
"(-74.012795729745, 40.70174875441994, -74.01267027113012, 40.70153692647523)",1033
"(-74.01267027113012, 40.70153692647523, -74.0125824870672, 40.70144721179867)",1033
"(-74.01344739763736, 40.70225350617986, -74.0136568802192, 40.702247630889744)",1033
"(-74.0136568802192, 40.702247630889744, -74.01381944085706, 40.702236690979944)",1033
"(-74.01381944085706, 40.702236690979944, -74.014279757076, 40.702291252636186)",1277
"(-74.0125824870672, 40.70144721179867, -74.01251220220324, 40.70142691471766)",1033
"(-74.00756901047977, 40.703103777470034, -74.0068420485535, 40.70355430665909)",2188
"(-74.00917397216124, 40.701986597469876, -74.01022809486116, 40.70168657603422)",2188
"(-74.00986580839657, 40.7057964266945, -74.00950278978388, 40.706378907998484)",1343
"(-74.00950278978388, 40.706378907998484, -74.00900515682534, 40.70693892196113)",1343
"(-74.00900515682534, 40.70693892196113, -74.0086453788268, 40.70734001924901)",2468
"(-74.00800726930723, 40.70544646204445, -74.00794861251617, 40.705546187847375)",192
"(-74.0086453788268, 40.70734001924901, -74.0082689573427, 40.70772193569955)",2468
"(-74.0082689573427, 40.70772193569955, -74.0080042598509, 40.70797679096739)",2468
"(-74.0080042598509, 40.70797679096739, -74.00764028920646, 40.70834524092173)",2468
"(-74.00794861251617, 40.705546187847375, -74.00745217354931, 40.7060510927825)",192
"(-74.00745217354931, 40.7060510927825, -74.00712975116878, 40.706375054158364)",192
"(-74.00712975116878, 40.706375054158364, -74.00678098830687, 40.70672380724827)",192
"(-74.00678098830687, 40.70672380724827, -74.00645561953817, 40.70698201154764)",1454
"(-74.00645561953817, 40.70698201154764, -74.00595100503939, 40.70720573474398)",1454
"(-74.00610141028952, 40.70402282147648, -74.00593163446472, 40.70412920868822)",3346
"(-74.00610141028952, 40.70402282147648, -74.00622259306684, 40.703945325063174)",3346
"(-74.00593163446472, 40.70412920868822, -74.00589320789075, 40.70413793842054)",3346
"(-74.00622259306684, 40.703945325063174, -74.0068420485535, 40.70355430665909)",3346
"(-74.00589320789075, 40.70413793842054, -74.00519048521085, 40.70450607527523)",3346
"(-74.00467079995508, 40.70485726191835, -74.00433662315054, 40.70507245311935)",3346
"(-74.00467079995508, 40.70485726191835, -74.00519048521085, 40.70450607527523)",3346
"(-74.00433662315054, 40.70507245311935, -74.00401725727167, 40.705274652049646)",3346
"(-74.00595100503939, 40.70720573474398, -74.00683778761535, 40.70785783570158)",1454
"(-74.00683778761535, 40.70785783570158, -74.00653116885151, 40.70822712611425)",1454
"(-74.00764028920646, 40.70834524092173, -74.00728273387183, 40.70870950912911)",2468
"(-74.00728273387183, 40.70870950912911, -74.00712782443247, 40.70886251385401)",3382
"(-74.00653116885151, 40.70822712611425, -74.00601167562942, 40.70866784654)",1454
"(-74.00601167562942, 40.70866784654, -74.00551252957787, 40.70909340802247)",1454
"(-74.00551252957787, 40.70909340802247, -74.00514773155669, 40.70942552436767)",1454
"(-73.99526015203637, 40.70281020882698, -73.99470923334248, 40.70299388651766)",539
"(-73.99526015203637, 40.70281020882698, -73.99542718300009, 40.70286405448052)",539
"(-73.99470923334248, 40.70299388651766, -73.9943829782294, 40.70288600055763)",539
"(-73.99542718300009, 40.70286405448052, -73.99574544730132, 40.702758722117295)",539
"(-74.00401725727167, 40.705274652049646, -74.00392834719416, 40.70538044360342)",3346
"(-74.00392834719416, 40.70538044360342, -74.00363496673508, 40.70556369471497)",3346
"(-74.00363496673508, 40.70556369471497, -74.00350886266804, 40.70564420795244)",3346
"(-74.00350886266804, 40.70564420795244, -74.00327528119793, 40.70582437024985)",3346
"(-74.00696369104807, 40.709026895081614, -74.00643549103394, 40.70955732140049)",3382
"(-74.00696369104807, 40.709026895081614, -74.00706700438451, 40.70892443674376)",3382
"(-74.00643549103394, 40.70955732140049, -74.006090317832, 40.709912582744785)",3382
"(-73.99669768962623, 40.70087697712274, -73.99574544730132, 40.702758722117295)",539
"(-73.99669768962623, 40.70087697712274, -73.9967395270275, 40.70071808837722)",539
"(-74.00328543929547, 40.70583405045801, -74.00327528119793, 40.70582437024985)",3346
"(-74.00328543929547, 40.70583405045801, -74.0029601901373, 40.7060349975937)",3346
"(-74.0029601901373, 40.7060349975937, -74.00263900207327, 40.706223527461404)",3346
"(-74.00712782443247, 40.70886251385401, -74.00706700438451, 40.70892443674376)",3382
