,count
"(-74.01480313637371, 40.675731168602674, -74.01417832444187, 40.67626355959891)",478
"(-74.01417832444187, 40.67626355959891, -74.01355299384214, 40.676795523985774)",478
"(-74.01355299384214, 40.676795523985774, -74.01292792580078, 40.67732999734482)",478
"(-74.01292792580078, 40.67732999734482, -74.01230404211701, 40.67786297229144)",646
"(-74.01230404211701, 40.67786297229144, -74.01167952233229, 40.67839360254641)",646
"(-74.00898332118193, 40.67196815773068, -74.00912811645168, 40.67175821011781)",78
"(-74.00898332118193, 40.67196815773068, -74.0086280170476, 40.672664392124425)",78
"(-74.00912811645168, 40.67175821011781, -74.00982455709726, 40.67193240065016)",78
"(-74.0086280170476, 40.672664392124425, -74.00834130627216, 40.673297871618665)",199
"(-74.00834130627216, 40.673297871618665, -74.00664999463368, 40.672802949746284)",302
"(-74.00834130627216, 40.673297871618665, -74.00803060910242, 40.67396562562768)",117
"(-74.00664999463368, 40.672802949746284, -74.00507901800565, 40.672363821569554)",302
"(-74.01167952233229, 40.67839360254641, -74.01105454214019, 40.67892540008934)",646
"(-74.01105454214019, 40.67892540008934, -74.0104278017604, 40.679459760827726)",732
"(-74.0104278017604, 40.679459760827726, -74.0098052973035, 40.679990668785656)",732
"(-74.00803060910242, 40.67396562562768, -74.00771092877481, 40.6746254277991)",117
"(-74.00507901800565, 40.672363821569554, -74.00324168663221, 40.67185224228774)",396
"(-74.00324168663221, 40.67185224228774, -74.00121990408616, 40.67131290977163)",235
"(-74.00324168663221, 40.67185224228774, -74.0029102125256, 40.672534418424206)",161
"(-74.00771092877481, 40.6746254277991, -74.00751165434437, 40.675039033972446)",113
"(-74.00549809675486, 40.684325958076045, -74.0058192546913, 40.68365655427884)",773
"(-74.00549809675486, 40.684325958076045, -74.0051788806772, 40.68499519603984)",773
"(-74.0058192546913, 40.68365655427884, -74.00596041075583, 40.6833628714425)",773
"(-74.00121990408616, 40.67131290977163, -73.99996327714682, 40.67097956347766)",235
"(-73.99996327714682, 40.67097956347766, -73.99965926029755, 40.67162708750218)",235
"(-74.0029102125256, 40.672534418424206, -74.00260810959696, 40.67318223913758)",161
"(-74.00260810959696, 40.67318223913758, -74.00229347570239, 40.67383738764887)",161
"(-74.00229347570239, 40.67383738764887, -74.0021957461331, 40.673876327824665)",161
"(-73.99965926029755, 40.67162708750218, -73.99934695849022, 40.67227260157711)",235
"(-73.99934695849022, 40.67227260157711, -73.99916167322917, 40.67223906519065)",235
"(-73.99916167322917, 40.67223906519065, -73.99906486592292, 40.672333349284635)",235
"(-74.00132421164997, 40.67571223891586, -74.00133729257621, 40.67567803721193)",212
"(-74.00132421164997, 40.67571223891586, -74.00131039746167, 40.67575045782299)",212
"(-74.00133729257621, 40.67567803721193, -74.00140309034917, 40.675538371982505)",212
"(-74.0021957461331, 40.673876327824665, -74.00214853978879, 40.67397737370359)",161
"(-74.0016160595481, 40.67508631433326, -74.00080909824769, 40.67487608863167)",22
"(-74.0016160595481, 40.67508631433326, -74.00164250269819, 40.67503235870913)",234
"(-74.0016160595481, 40.67508631433326, -74.00140309034917, 40.675538371982505)",212
"(-74.00080909824769, 40.67487608863167, -74.00062831120819, 40.67482495852469)",22
"(-73.99898242869834, 40.67241358358645, -73.99906486592292, 40.672333349284635)",235
"(-73.99898242869834, 40.67241358358645, -73.99891277678674, 40.67248076138065)",235
"(-73.99891277678674, 40.67248076138065, -73.99881832242767, 40.67257410785038)",235
"(-74.00131039746167, 40.67575045782299, -74.00129096519822, 40.675797986313526)",212
"(-74.01100637147701, 40.672227978729495, -74.01173329192078, 40.67269448181156)",78
"(-74.01100637147701, 40.672227978729495, -74.00982455709726, 40.67193240065016)",78
"(-74.01173329192078, 40.67269448181156, -74.01244115447139, 40.67314874343735)",78
"(-74.00062831120819, 40.67482495852469, -74.00045011468082, 40.67476942460533)",22
