,count
"(-74.01739796592196, 40.70845740998238, -74.01695833805474, 40.70905766172049)",5052
"(-74.01695833805474, 40.70905766172049, -74.01676485998686, 40.7093330258103)",5052
"(-74.01676485998686, 40.7093330258103, -74.01638142250701, 40.71007837180698)",5052
"(-74.01638142250701, 40.71007837180698, -74.01597926657278, 40.71108458623012)",605
"(-74.01638142250701, 40.71007837180698, -74.01521226901758, 40.70982972647772)",4447
"(-74.01706855760327, 40.70473099931219, -74.01684600650113, 40.704634885379704)",3593
"(-74.01706855760327, 40.70473099931219, -74.01704963760685, 40.70483662941912)",3593
"(-74.01684600650113, 40.704634885379704, -74.0167703433133, 40.70463219129162)",3593
"(-74.01704963760685, 40.70483662941912, -74.01669907442812, 40.70572823220991)",3593
"(-74.01669907442812, 40.70572823220991, -74.01642753723138, 40.70647764714563)",7408
"(-74.01642753723138, 40.70647764714563, -74.01620424871123, 40.70708727002185)",7408
"(-74.01620424871123, 40.70708727002185, -74.01589242648716, 40.70778875591472)",7408
"(-74.01589242648716, 40.70778875591472, -74.01543085526136, 40.70909728747892)",7408
"(-74.01521226901758, 40.70982972647772, -74.01496257961168, 40.710943186880726)",10681
"(-74.01521226901758, 40.70982972647772, -74.01543085526136, 40.70909728747892)",7408
"(-74.01508896610736, 40.71129592657811, -74.01461906258014, 40.71247013250396)",10681
"(-74.01508896610736, 40.71129592657811, -74.01516753240912, 40.711183306479256)",10681
"(-74.01461906258014, 40.71247013250396, -74.01454327378904, 40.71252875634058)",10681
"(-74.01660292148038, 40.71206606188914, -74.01658398687522, 40.71212906614689)",605
"(-74.01660292148038, 40.71206606188914, -74.01578577480306, 40.71156888060502)",605
"(-74.01658398687522, 40.71212906614689, -74.01639753217074, 40.7128977912469)",605
"(-74.01496257961168, 40.710943186880726, -74.01516753240912, 40.711183306479256)",10681
"(-74.01578577480306, 40.71156888060502, -74.01597926657278, 40.71108458623012)",605
"(-74.00046846939843, 40.68965914592817, -73.99912517443754, 40.68927496657783)",476
"(-74.00046846939843, 40.68965914592817, -74.00054817407835, 40.68968074438672)",476
"(-73.99912517443754, 40.68927496657783, -73.99899055836752, 40.6892410611496)",476
"(-73.99874207800303, 40.68917701419464, -73.99720210531751, 40.688749369290534)",476
"(-73.99874207800303, 40.68917701419464, -73.9988609596335, 40.68920780308257)",476
"(-73.99720210531751, 40.688749369290534, -73.99687398712891, 40.68943280543719)",476
"(-73.99899055836752, 40.6892410611496, -73.99893047391078, 40.68922580591131)",476
"(-73.99893047391078, 40.68922580591131, -73.9988609596335, 40.68920780308257)",476
"(-74.00054817407835, 40.68968074438672, -74.00047690871405, 40.689762486994184)",476
"(-74.00068439003799, 40.691897815108035, -74.0007730577876, 40.69189575777485)",840
"(-74.00068439003799, 40.691897815108035, -73.99992106330963, 40.69167430257896)",840
"(-74.0007730577876, 40.69189575777485, -74.00179432019102, 40.69218477593522)",840
"(-74.00047690871405, 40.689762486994184, -73.99973054792906, 40.69134584825779)",476
