,count
"(-74.01739796592196, 40.70845740998238, -74.01695833805474, 40.70905766172049)",5220
"(-74.01695833805474, 40.70905766172049, -74.01676485998686, 40.7093330258103)",5220
"(-74.01676485998686, 40.7093330258103, -74.01638142250701, 40.71007837180698)",5220
"(-74.01638142250701, 40.71007837180698, -74.01597926657278, 40.71108458623012)",431
"(-74.01638142250701, 40.71007837180698, -74.01521226901758, 40.70982972647772)",4789
"(-74.01706855760327, 40.70473099931219, -74.01684600650113, 40.704634885379704)",4050
"(-74.01706855760327, 40.70473099931219, -74.01704963760685, 40.70483662941912)",4050
"(-74.01684600650113, 40.704634885379704, -74.0167703433133, 40.70463219129162)",4050
"(-74.01704963760685, 40.70483662941912, -74.01669907442812, 40.70572823220991)",4050
"(-74.01669907442812, 40.70572823220991, -74.01642753723138, 40.70647764714563)",9966
"(-74.01642753723138, 40.70647764714563, -74.01620424871123, 40.70708727002185)",9966
"(-74.01620424871123, 40.70708727002185, -74.01589242648716, 40.70778875591472)",9966
"(-74.01589242648716, 40.70778875591472, -74.01543085526136, 40.70909728747892)",9966
"(-74.01521226901758, 40.70982972647772, -74.01496257961168, 40.710943186880726)",13699
"(-74.01521226901758, 40.70982972647772, -74.01543085526136, 40.70909728747892)",9966
"(-74.01508896610736, 40.71129592657811, -74.01461906258014, 40.71247013250396)",13699
"(-74.01508896610736, 40.71129592657811, -74.01516753240912, 40.711183306479256)",13699
"(-74.01461906258014, 40.71247013250396, -74.01454327378904, 40.71252875634058)",13699
"(-74.01660292148038, 40.71206606188914, -74.01658398687522, 40.71212906614689)",431
"(-74.01660292148038, 40.71206606188914, -74.01578577480306, 40.71156888060502)",431
"(-74.01658398687522, 40.71212906614689, -74.01639753217074, 40.7128977912469)",431
"(-74.01496257961168, 40.710943186880726, -74.01516753240912, 40.711183306479256)",13699
"(-74.01578577480306, 40.71156888060502, -74.01597926657278, 40.71108458623012)",431
"(-74.00046846939843, 40.68965914592817, -73.99912517443754, 40.68927496657783)",674
"(-74.00046846939843, 40.68965914592817, -74.00054817407835, 40.68968074438672)",674
"(-73.99912517443754, 40.68927496657783, -73.99899055836752, 40.6892410611496)",674
"(-73.99874207800303, 40.68917701419464, -73.99720210531751, 40.688749369290534)",674
"(-73.99874207800303, 40.68917701419464, -73.9988609596335, 40.68920780308257)",674
"(-73.99720210531751, 40.688749369290534, -73.99687398712891, 40.68943280543719)",674
"(-73.99899055836752, 40.6892410611496, -73.99893047391078, 40.68922580591131)",674
"(-73.99893047391078, 40.68922580591131, -73.9988609596335, 40.68920780308257)",674
"(-74.00054817407835, 40.68968074438672, -74.00047690871405, 40.689762486994184)",674
"(-74.00068439003799, 40.691897815108035, -74.0007730577876, 40.69189575777485)",722
"(-74.00068439003799, 40.691897815108035, -73.99992106330963, 40.69167430257896)",722
"(-74.0007730577876, 40.69189575777485, -74.00179432019102, 40.69218477593522)",722
"(-74.00047690871405, 40.689762486994184, -73.99973054792906, 40.69134584825779)",674
"(-73.99973054792906, 40.69134584825779, -73.99992106330963, 40.69167430257896)",674
"(-74.00179432019102, 40.69218477593522, -74.0016998943102, 40.69238276685164)",722
"(-74.0016998943102, 40.69238276685164, -74.00161727547274, 40.692549071171584)",722
"(-74.00161727547274, 40.692549071171584, -74.00150636160558, 40.692772330543065)",722
"(-73.99687398712891, 40.68943280543719, -73.9965480514989, 40.690103525408944)",674
"(-73.99623278138093, 40.69075777436566, -73.9965480514989, 40.690103525408944)",645
"(-73.99623278138093, 40.69075777436566, -73.9959143567291, 40.691415489268564)",518
"(-73.9965480514989, 40.690103525408944, -73.99467753931718, 40.68958293943249)",1179
"(-73.9959143567291, 40.691415489268564, -73.99508016968834, 40.693147214213084)",518
"(-73.99467753931718, 40.68958293943249, -73.9926855276102, 40.6890332467882)",750
"(-73.99467753931718, 40.68958293943249, -73.99436092810406, 40.69023947955109)",429
"(-73.9926855276102, 40.6890332467882, -73.99262286067041, 40.68916054835773)",750
"(-73.99436092810406, 40.69023947955109, -73.99404558824455, 40.69089726151881)",429
"(-73.99262286067041, 40.68916054835773, -73.99109339526466, 40.6885710361429)",750
"(-73.99109339526466, 40.6885710361429, -73.99150877034401, 40.68795840323189)",4
"(-73.99109339526466, 40.6885710361429, -73.98961242294853, 40.68799183683174)",117
"(-73.99109339526466, 40.6885710361429, -73.99070669561522, 40.6891367440781)",637
"(-73.9900350027276, 40.687365125813926, -73.98785886727347, 40.686503440477836)",8
"(-73.9900350027276, 40.687365125813926, -73.99150877034401, 40.68795840323189)",4
"(-73.9900350027276, 40.687365125813926, -73.98961242294853, 40.68799183683174)",4
"(-73.98785886727347, 40.686503440477836, -73.98568969253844, 40.68566045444764)",8
"(-73.98961242294853, 40.68799183683174, -73.98916812738946, 40.68861555450313)",121
"(-73.99070669561522, 40.6891367440781, -73.99047488143682, 40.68914107460354)",633
"(-73.99070669561522, 40.6891367440781, -73.99062943695468, 40.68918791398543)",4
"(-73.98615534286995, 40.68901797708176, -73.98398777598669, 40.688174644255284)",2089
"(-73.98615534286995, 40.68901797708176, -73.98701244934406, 40.689358188282434)",2089
"(-73.98398777598669, 40.688174644255284, -73.98181677450677, 40.68732980212478)",1033
"(-73.98398777598669, 40.688174644255284, -73.9835726147043, 40.68878595330128)",1110
"(-73.99047488143682, 40.68914107460354, -73.99009014930243, 40.68970407905045)",633
"(-73.99062943695468, 40.68918791398543, -73.99025783629529, 40.68975945692372)",4
"(-73.99009014930243, 40.68970407905045, -73.98963949401971, 40.69032670823996)",633
"(-73.98963949401971, 40.69032670823996, -73.98830047361946, 40.68986942535661)",2419
"(-73.98963949401971, 40.69032670823996, -73.98922003665355, 40.690965971020994)",846
"(-73.98963949401971, 40.69032670823996, -73.9897369008372, 40.6903599729204)",1434
"(-73.98830047361946, 40.68986942535661, -73.98762313544235, 40.68960058190948)",2089
"(-73.98830047361946, 40.68986942535661, -73.98872146819119, 40.68924580790641)",1432
"(-73.98830047361946, 40.68986942535661, -73.98789201611842, 40.69046751298988)",1426
"(-73.98762313544235, 40.68960058190948, -73.98701244934406, 40.689358188282434)",2089
"(-73.98872146819119, 40.68924580790641, -73.98891557138668, 40.68897192212772)",1432
"(-73.98916812738946, 40.68861555450313, -73.98891557138668, 40.68897192212772)",121
"(-73.98568969253844, 40.68566045444764, -73.98352199247269, 40.68481626598085)",8
"(-73.98352199247269, 40.68481626598085, -73.98156151536904, 40.68405354847385)",8
"(-73.97927107661516, 40.68316176690229, -73.97918390583314, 40.68312883737846)",8
"(-73.97927107661516, 40.68316176690229, -73.98156151536904, 40.68405354847385)",8
"(-73.98181677450677, 40.68732980212478, -73.9805331632042, 40.686891896616956)",1033
"(-73.97981084452853, 40.68664684596194, -73.97936297639144, 40.68668200001036)",818
"(-73.97981084452853, 40.68664684596194, -73.9805331632042, 40.686891896616956)",1033
"(-73.97936297639144, 40.68668200001036, -73.9790571080391, 40.6867135978043)",818
"(-73.97918390583314, 40.68312883737846, -73.97911417038753, 40.6831027008302)",8
"(-73.98729894907962, 40.69223407563176, -73.98734787475522, 40.69145766769337)",1426
"(-73.98729894907962, 40.69223407563176, -73.98725396375212, 40.69312490307784)",1426
"(-73.98734787475522, 40.69145766769337, -73.98789201611842, 40.69046751298988)",1426
"(-73.9835726147043, 40.68878595330128, -73.98295684393185, 40.68969981904447)",1110
"(-73.98295684393185, 40.68969981904447, -73.98276720165289, 40.689986480906136)",1446
"(-73.98889162249422, 40.692301247554795, -73.98893356281361, 40.692086641340495)",846
"(-73.98889162249422, 40.692301247554795, -73.98888911404094, 40.692345784883194)",846
"(-73.98893356281361, 40.692086641340495, -73.98920133231314, 40.69104036065628)",846
"(-73.98922003665355, 40.690965971020994, -73.98920133231314, 40.69104036065628)",846
"(-73.98982218249625, 40.69038688782855, -73.9897369008372, 40.6903599729204)",1434
"(-73.98982218249625, 40.69038688782855, -73.99025783629529, 40.68975945692372)",4
"(-73.98982218249625, 40.69038688782855, -73.99174170643144, 40.6909926366798)",1261
"(-73.98982218249625, 40.69038688782855, -73.98943340292409, 40.69102780112982)",177
"(-73.98276720165289, 40.689986480906136, -73.981574203679, 40.68993518294305)",1446
"(-73.9790571080391, 40.6867135978043, -73.97819812514417, 40.68681921710018)",818
"(-73.97819812514417, 40.68681921710018, -73.97736135217022, 40.686918638821126)",1067
"(-73.97819812514417, 40.68681921710018, -73.97829143516351, 40.68745187074293)",285
"(-73.97736135217022, 40.686918638821126, -73.9768371239328, 40.68696743958817)",1067
"(-73.97654657337922, 40.686997227360436, -73.97620585740891, 40.68702540472503)",1062
"(-73.97654657337922, 40.686997227360436, -73.9768371239328, 40.68696743958817)",1067
"(-73.97620585740891, 40.68702540472503, -73.9755899604274, 40.68708637557434)",1062
"(-73.9755899604274, 40.68708637557434, -73.9746165714454, 40.68719070560144)",1062
"(-73.9746165714454, 40.68719070560144, -73.97364817929127, 40.687302610862794)",1062
"(-73.97829143516351, 40.68745187074293, -73.97834701311282, 40.68787174294024)",285
"(-74.00945463906447, 40.70452785663336, -74.00890108872841, 40.7048618464718)",452
"(-74.00945463906447, 40.70452785663336, -74.00974639348551, 40.704775247847756)",2701
"(-74.00890108872841, 40.7048618464718, -74.00800726930723, 40.70544646204445)",452
"(-74.00998418639004, 40.705147733060706, -74.009995205654, 40.70533123833425)",2701
"(-74.00998418639004, 40.705147733060706, -74.00974639348551, 40.704775247847756)",2701
"(-74.009995205654, 40.70533123833425, -74.00986580839657, 40.7057964266945)",2701
"(-74.0122458263306, 40.70123546300999, -74.01113583814562, 40.70149630457577)",4619
"(-74.0122458263306, 40.70123546300999, -74.01234989229437, 40.701210544630904)",4619
"(-74.01113583814562, 40.70149630457577, -74.01107444420241, 40.701480987388386)",4619
"(-74.01107444420241, 40.701480987388386, -74.01022809486116, 40.70168657603422)",4619
"(-74.00771638021054, 40.70287138882857, -74.00767172344972, 40.70295160129592)",4619
"(-74.00771638021054, 40.70287138882857, -74.00917397216124, 40.701986597469876)",4619
"(-74.00767172344972, 40.70295160129592, -74.00763657929971, 40.70300436821806)",4619
"(-74.00763657929971, 40.70300436821806, -74.00756901047977, 40.703103777470034)",4619
"(-74.01234989229437, 40.701210544630904, -74.01238039347712, 40.70129794774553)",2759
"(-74.01239922996334, 40.701357845070675, -74.01238039347712, 40.70129794774553)",2759
