,count
"(-74.01292792580078, 40.67732999734482, -74.01230404211701, 40.67786297229144)",874
"(-74.01230404211701, 40.67786297229144, -74.01167952233229, 40.67839360254641)",874
"(-74.00834130627216, 40.673297871618665, -74.00664999463368, 40.672802949746284)",297
"(-74.00834130627216, 40.673297871618665, -74.00803060910242, 40.67396562562768)",297
"(-74.00664999463368, 40.672802949746284, -74.00507901800565, 40.672363821569554)",297
"(-74.01167952233229, 40.67839360254641, -74.01105454214019, 40.67892540008934)",874
"(-74.01105454214019, 40.67892540008934, -74.0104278017604, 40.679459760827726)",1393
"(-74.0104278017604, 40.679459760827726, -74.0098052973035, 40.679990668785656)",1393
"(-74.00803060910242, 40.67396562562768, -74.00771092877481, 40.6746254277991)",297
"(-74.00507901800565, 40.672363821569554, -74.00324168663221, 40.67185224228774)",506
"(-74.00324168663221, 40.67185224228774, -74.00121990408616, 40.67131290977163)",313
"(-74.00324168663221, 40.67185224228774, -74.0029102125256, 40.672534418424206)",193
"(-74.00771092877481, 40.6746254277991, -74.00751165434437, 40.675039033972446)",159
"(-74.00549809675486, 40.684325958076045, -74.0058192546913, 40.68365655427884)",1784
"(-74.00549809675486, 40.684325958076045, -74.0051788806772, 40.68499519603984)",1784
"(-74.0058192546913, 40.68365655427884, -74.00596041075583, 40.6833628714425)",1784
"(-74.00121990408616, 40.67131290977163, -73.99996327714682, 40.67097956347766)",313
"(-73.99996327714682, 40.67097956347766, -73.99965926029755, 40.67162708750218)",313
"(-74.0029102125256, 40.672534418424206, -74.00260810959696, 40.67318223913758)",193
"(-74.00260810959696, 40.67318223913758, -74.00229347570239, 40.67383738764887)",193
"(-74.00229347570239, 40.67383738764887, -74.0021957461331, 40.673876327824665)",193
"(-73.99965926029755, 40.67162708750218, -73.99934695849022, 40.67227260157711)",313
"(-73.99934695849022, 40.67227260157711, -73.99916167322917, 40.67223906519065)",313
"(-73.99916167322917, 40.67223906519065, -73.99906486592292, 40.672333349284635)",313
"(-74.00132421164997, 40.67571223891586, -74.00133729257621, 40.67567803721193)",174
"(-74.00132421164997, 40.67571223891586, -74.00131039746167, 40.67575045782299)",174
"(-74.00133729257621, 40.67567803721193, -74.00140309034917, 40.675538371982505)",174
"(-74.0021957461331, 40.673876327824665, -74.00214853978879, 40.67397737370359)",193
"(-74.0016160595481, 40.67508631433326, -74.00080909824769, 40.67487608863167)",35
"(-74.0016160595481, 40.67508631433326, -74.00164250269819, 40.67503235870913)",209
"(-74.0016160595481, 40.67508631433326, -74.00140309034917, 40.675538371982505)",174
"(-74.00080909824769, 40.67487608863167, -74.00062831120819, 40.67482495852469)",35
"(-73.99898242869834, 40.67241358358645, -73.99906486592292, 40.672333349284635)",313
"(-73.99898242869834, 40.67241358358645, -73.99891277678674, 40.67248076138065)",313
"(-73.99891277678674, 40.67248076138065, -73.99881832242767, 40.67257410785038)",313
"(-74.00131039746167, 40.67575045782299, -74.00129096519822, 40.675797986313526)",174
"(-74.00062831120819, 40.67482495852469, -74.00045011468082, 40.67476942460533)",35
"(-74.00045011468082, 40.67476942460533, -74.0003561553709, 40.67474573328763)",35
"(-74.0003561553709, 40.67474573328763, -74.00013621940334, 40.674688307021334)",35
"(-74.00164250269819, 40.67503235870913, -74.00169391402974, 40.674927451580984)",209
"(-74.00169391402974, 40.674927451580984, -74.00192453388962, 40.67445686767263)",209
"(-74.00192453388962, 40.67445686767263, -74.00210501734045, 40.6740705381874)",193
"(-74.00210501734045, 40.6740705381874, -74.00214853978879, 40.67397737370359)",193
"(-74.01739796592196, 40.70845740998238, -74.01695833805474, 40.70905766172049)",4100
"(-74.01695833805474, 40.70905766172049, -74.01676485998686, 40.7093330258103)",4100
"(-74.01676485998686, 40.7093330258103, -74.01638142250701, 40.71007837180698)",4100
"(-74.01638142250701, 40.71007837180698, -74.01597926657278, 40.71108458623012)",356
"(-74.01638142250701, 40.71007837180698, -74.01521226901758, 40.70982972647772)",3744
"(-74.01706855760327, 40.70473099931219, -74.01684600650113, 40.704634885379704)",3236
"(-74.01706855760327, 40.70473099931219, -74.01704963760685, 40.70483662941912)",3236
"(-74.01684600650113, 40.704634885379704, -74.0167703433133, 40.70463219129162)",3236
"(-74.01704963760685, 40.70483662941912, -74.01669907442812, 40.70572823220991)",3236
"(-74.01669907442812, 40.70572823220991, -74.01642753723138, 40.70647764714563)",7994
"(-74.01642753723138, 40.70647764714563, -74.01620424871123, 40.70708727002185)",7994
"(-74.01620424871123, 40.70708727002185, -74.01589242648716, 40.70778875591472)",7994
"(-74.01589242648716, 40.70778875591472, -74.01543085526136, 40.70909728747892)",7994
"(-74.01521226901758, 40.70982972647772, -74.01496257961168, 40.710943186880726)",10988
"(-74.01521226901758, 40.70982972647772, -74.01543085526136, 40.70909728747892)",7994
"(-74.01508896610736, 40.71129592657811, -74.01461906258014, 40.71247013250396)",10988
"(-74.01508896610736, 40.71129592657811, -74.01516753240912, 40.711183306479256)",10988
"(-74.01461906258014, 40.71247013250396, -74.01454327378904, 40.71252875634058)",10988
