,count
"(-74.01292792580078, 40.67732999734482, -74.01230404211701, 40.67786297229144)",324
"(-74.01230404211701, 40.67786297229144, -74.01167952233229, 40.67839360254641)",324
"(-74.00834130627216, 40.673297871618665, -74.00664999463368, 40.672802949746284)",131
"(-74.00834130627216, 40.673297871618665, -74.00803060910242, 40.67396562562768)",131
"(-74.00664999463368, 40.672802949746284, -74.00507901800565, 40.672363821569554)",131
"(-74.01167952233229, 40.67839360254641, -74.01105454214019, 40.67892540008934)",324
"(-74.01105454214019, 40.67892540008934, -74.0104278017604, 40.679459760827726)",502
"(-74.0104278017604, 40.679459760827726, -74.0098052973035, 40.679990668785656)",502
"(-74.00803060910242, 40.67396562562768, -74.00771092877481, 40.6746254277991)",131
"(-74.00507901800565, 40.672363821569554, -74.00324168663221, 40.67185224228774)",166
"(-74.00324168663221, 40.67185224228774, -74.00121990408616, 40.67131290977163)",98
"(-74.00324168663221, 40.67185224228774, -74.0029102125256, 40.672534418424206)",68
"(-74.00771092877481, 40.6746254277991, -74.00751165434437, 40.675039033972446)",54
"(-74.00549809675486, 40.684325958076045, -74.0058192546913, 40.68365655427884)",671
"(-74.00549809675486, 40.684325958076045, -74.0051788806772, 40.68499519603984)",671
"(-74.0058192546913, 40.68365655427884, -74.00596041075583, 40.6833628714425)",671
"(-74.00121990408616, 40.67131290977163, -73.99996327714682, 40.67097956347766)",98
"(-73.99996327714682, 40.67097956347766, -73.99965926029755, 40.67162708750218)",98
"(-74.0029102125256, 40.672534418424206, -74.00260810959696, 40.67318223913758)",68
"(-74.00260810959696, 40.67318223913758, -74.00229347570239, 40.67383738764887)",68
"(-74.00229347570239, 40.67383738764887, -74.0021957461331, 40.673876327824665)",68
"(-73.99965926029755, 40.67162708750218, -73.99934695849022, 40.67227260157711)",98
"(-73.99934695849022, 40.67227260157711, -73.99916167322917, 40.67223906519065)",98
"(-73.99916167322917, 40.67223906519065, -73.99906486592292, 40.672333349284635)",98
"(-74.00132421164997, 40.67571223891586, -74.00133729257621, 40.67567803721193)",43
"(-74.00132421164997, 40.67571223891586, -74.00131039746167, 40.67575045782299)",43
"(-74.00133729257621, 40.67567803721193, -74.00140309034917, 40.675538371982505)",43
"(-74.0021957461331, 40.673876327824665, -74.00214853978879, 40.67397737370359)",68
"(-74.0016160595481, 40.67508631433326, -74.00080909824769, 40.67487608863167)",12
"(-74.0016160595481, 40.67508631433326, -74.00164250269819, 40.67503235870913)",55
"(-74.0016160595481, 40.67508631433326, -74.00140309034917, 40.675538371982505)",43
"(-74.00080909824769, 40.67487608863167, -74.00062831120819, 40.67482495852469)",12
"(-73.99898242869834, 40.67241358358645, -73.99906486592292, 40.672333349284635)",98
"(-73.99898242869834, 40.67241358358645, -73.99891277678674, 40.67248076138065)",98
"(-73.99891277678674, 40.67248076138065, -73.99881832242767, 40.67257410785038)",98
"(-74.00131039746167, 40.67575045782299, -74.00129096519822, 40.675797986313526)",43
"(-74.00062831120819, 40.67482495852469, -74.00045011468082, 40.67476942460533)",12
"(-74.00045011468082, 40.67476942460533, -74.0003561553709, 40.67474573328763)",12
"(-74.0003561553709, 40.67474573328763, -74.00013621940334, 40.674688307021334)",12
"(-74.00164250269819, 40.67503235870913, -74.00169391402974, 40.674927451580984)",55
"(-74.00169391402974, 40.674927451580984, -74.00192453388962, 40.67445686767263)",55
"(-74.00192453388962, 40.67445686767263, -74.00210501734045, 40.6740705381874)",68
"(-74.00210501734045, 40.6740705381874, -74.00214853978879, 40.67397737370359)",68
"(-74.01739796592196, 40.70845740998238, -74.01695833805474, 40.70905766172049)",1158
"(-74.01695833805474, 40.70905766172049, -74.01676485998686, 40.7093330258103)",1158
"(-74.01676485998686, 40.7093330258103, -74.01638142250701, 40.71007837180698)",1158
"(-74.01638142250701, 40.71007837180698, -74.01597926657278, 40.71108458623012)",200
"(-74.01638142250701, 40.71007837180698, -74.01521226901758, 40.70982972647772)",958
"(-74.01706855760327, 40.70473099931219, -74.01684600650113, 40.704634885379704)",785
"(-74.01706855760327, 40.70473099931219, -74.01704963760685, 40.70483662941912)",785
"(-74.01684600650113, 40.704634885379704, -74.0167703433133, 40.70463219129162)",785
"(-74.01704963760685, 40.70483662941912, -74.01669907442812, 40.70572823220991)",785
"(-74.01669907442812, 40.70572823220991, -74.01642753723138, 40.70647764714563)",2169
"(-74.01642753723138, 40.70647764714563, -74.01620424871123, 40.70708727002185)",2169
"(-74.01620424871123, 40.70708727002185, -74.01589242648716, 40.70778875591472)",2169
"(-74.01589242648716, 40.70778875591472, -74.01543085526136, 40.70909728747892)",2169
"(-74.01521226901758, 40.70982972647772, -74.01496257961168, 40.710943186880726)",2937
"(-74.01521226901758, 40.70982972647772, -74.01543085526136, 40.70909728747892)",2169
"(-74.01508896610736, 40.71129592657811, -74.01461906258014, 40.71247013250396)",2937
"(-74.01508896610736, 40.71129592657811, -74.01516753240912, 40.711183306479256)",2937
"(-74.01461906258014, 40.71247013250396, -74.01454327378904, 40.71252875634058)",2937
"(-74.01660292148038, 40.71206606188914, -74.01658398687522, 40.71212906614689)",200
"(-74.01660292148038, 40.71206606188914, -74.01578577480306, 40.71156888060502)",200
"(-74.01658398687522, 40.71212906614689, -74.01639753217074, 40.7128977912469)",200
"(-74.01496257961168, 40.710943186880726, -74.01516753240912, 40.711183306479256)",2937
"(-74.01578577480306, 40.71156888060502, -74.01597926657278, 40.71108458623012)",200
"(-73.98630926847324, 40.67707840436804, -73.98699859921716, 40.676285446042925)",405
"(-73.98630926847324, 40.67707840436804, -73.98586016372549, 40.677708881397606)",405
"(-73.98699859921716, 40.676285446042925, -73.98747868639666, 40.675707377801956)",405
"(-73.99776979507268, 40.674741487908165, -73.99666043533924, 40.67414278070709)",269
"(-73.99776979507268, 40.674741487908165, -73.99807658786466, 40.67411460896819)",110
"(-73.99776979507268, 40.674741487908165, -73.99935169641083, 40.675200563173185)",163
"(-73.99776979507268, 40.674741487908165, -73.99744702777404, 40.67540002863195)",205
"(-73.99666043533924, 40.67414278070709, -73.99631939541817, 40.67403403581914)",269
"(-73.99631939541817, 40.67403403581914, -73.99337906131427, 40.6726041536998)",269
"(-73.99337906131427, 40.6726041536998, -73.99102303839103, 40.67145846659621)",269
"(-73.9918716266536, 40.6769463580114, -73.99036651427998, 40.67621831976616)",703
"(-73.9918716266536, 40.6769463580114, -73.99372510867678, 40.67784162158665)",689
"(-73.9918716266536, 40.6769463580114, -73.99136983699964, 40.677549684291876)",178
"(-73.99036651427998, 40.67621831976616, -73.99006220294773, 40.67607208630613)",703
"(-73.99006220294773, 40.67607208630613, -73.98800399215746, 40.67507708237837)",703
"(-73.98800399215746, 40.67507708237837, -73.98905604055847, 40.673816160146586)",303
"(-73.98800399215746, 40.67507708237837, -73.98575694970165, 40.67400305212278)",660
"(-73.98800399215746, 40.67507708237837, -73.98747868639666, 40.675707377801956)",405
"(-73.98951103650522, 40.67327082449606, -73.99001383956131, 40.67266881995156)",303
"(-73.98951103650522, 40.67327082449606, -73.98905604055847, 40.673816160146586)",303
"(-73.99001383956131, 40.67266881995156, -73.99051727231378, 40.67206608470209)",181
"(-73.98850509955685, 40.67953715744013, -73.98820272280724, 40.679418484061586)",666
"(-73.98850509955685, 40.67953715744013, -73.98955883881523, 40.679945677176036)",666
"(-73.98820272280724, 40.679418484061586, -73.98739288377777, 40.67910379535718)",666
"(-73.98739288377777, 40.67910379535718, -73.98542920598878, 40.67834382547854)",474
"(-73.98542920598878, 40.67834382547854, -73.98586016372549, 40.677708881397606)",405
"(-73.98542920598878, 40.67834382547854, -73.98499877258278, 40.67897762431227)",825
"(-73.98456912329549, 40.679612340117764, -73.98499877258278, 40.67897762431227)",342
"(-73.98456912329549, 40.679612340117764, -73.98228247782426, 40.678711820468614)",44
"(-73.98456912329549, 40.679612340117764, -73.98413878016774, 40.68024537021334)",386
"(-73.98499877258278, 40.67897762431227, -73.98271968671187, 40.678087929445425)",693
"(-73.98413878016774, 40.68024537021334, -73.98371139744589, 40.680880227114606)",411
"(-73.98371139744589, 40.680880227114606, -73.98326434476367, 40.681519176860576)",411
"(-73.98727814125205, 40.67219302392744, -73.98750838780586, 40.6719096218984)",230
"(-73.98727814125205, 40.67219302392744, -73.98676201193352, 40.672791979383504)",230
"(-73.98750838780586, 40.6719096218984, -73.98777295066371, 40.6715839789797)",230
"(-73.98525497364686, 40.67460396556491, -73.98575694970165, 40.67400305212278)",14
"(-73.98525497364686, 40.67460396556491, -73.98475744785593, 40.675203823761784)",14
"(-73.98475744785593, 40.675203823761784, -73.98425599989756, 40.67579601584722)",14
"(-73.98777295066371, 40.6715839789797, -73.98826806824437, 40.67098700600136)",230
"(-73.98575694970165, 40.67400305212278, -73.9856994865841, 40.673976028643885)",700
"(-73.98575694970165, 40.67400305212278, -73.98628003475223, 40.673372755160514)",230
"(-73.98676201193352, 40.672791979383504, -73.98628003475223, 40.673372755160514)",230
"(-73.9856994865841, 40.673976028643885, -73.9856400231567, 40.673944990390595)",700
"(-73.9856400231567, 40.673944990390595, -73.98328198137348, 40.67279587581711)",705
"(-73.9856400231567, 40.673944990390595, -73.98616105310097, 40.67331540691619)",234
"(-73.9856400231567, 40.673944990390595, -73.98514600758018, 40.674541032568975)",439
"(-73.98514600758018, 40.674541032568975, -73.98463375479527, 40.6751449046297)",439
"(-73.98271968671187, 40.678087929445425, -73.9826172538338, 40.67804242902478)",334
"(-73.98271968671187, 40.678087929445425, -73.98313454970736, 40.677441493560025)",14
"(-73.98271968671187, 40.678087929445425, -73.98228247782426, 40.678711820468614)",373
"(-73.9826172538338, 40.67804242902478, -73.98255503252403, 40.67801478281542)",334
"(-73.98228247782426, 40.678711820468614, -73.9821893980044, 40.67867580352823)",233
"(-73.98228247782426, 40.678711820468614, -73.98185715563015, 40.67935261431517)",184
"(-73.9821893980044, 40.67867580352823, -73.98212305951016, 40.678650002504845)",233
"(-73.98425599989756, 40.67579601584722, -73.98396698883253, 40.6761769846471)",14
"(-73.98396698883253, 40.6761769846471, -73.98353254742213, 40.67680422996151)",14
"(-73.98313454970736, 40.677441493560025, -73.98353254742213, 40.67680422996151)",14
"(-73.98185715563015, 40.67935261431517, -73.98141332668921, 40.679988432713415)",184
"(-73.98141332668921, 40.679988432713415, -73.98095925248941, 40.68062085001629)",184
"(-73.97950974891293, 40.661046003203786, -73.97965353475097, 40.66124323371184)",780
"(-74.0098052973035, 40.679990668785656, -74.00917947105675, 40.68052274427405)",502
"(-74.00917947105675, 40.68052274427405, -74.008553079275, 40.68105797717015)",502
"(-74.008553079275, 40.68105797717015, -74.00792484259573, 40.681591693883696)",671
"(-74.00792484259573, 40.681591693883696, -74.0073036007169, 40.68212289425341)",671
