trip_duration,start_time,stop_time,start_station_id,start_station_name,start_lat,start_lon,end_station_id,end_station_name,end_lat,end_lon,bike_id,user_type,birth_year,gender,od_pair
2096,2020-04-11 18:18:11.8130,2020-04-11 18:53:08.6460,127,Barrow St & Hudson St,40.73172428,-74.00674436,532,S 5 Pl & S 5 St,40.710451,-73.960876,35307,Subscriber,1990,1,"('127', '532')"
2739,2020-04-21 17:41:51.7300,2020-04-21 18:27:31.4020,127,Barrow St & Hudson St,40.73172428,-74.00674436,532,S 5 Pl & S 5 St,40.710451,-73.960876,27672,Subscriber,1993,1,"('127', '532')"
1584,2020-04-11 18:03:05.1750,2020-04-11 18:29:29.6040,128,MacDougal St & Prince St,40.72710258,-74.00297088,389,Broadway & Berry St,40.71044554,-73.96525063,34109,Subscriber,1985,1,"('128', '389')"
2001,2020-04-25 18:20:41.0100,2020-04-25 18:54:02.8620,128,MacDougal St & Prince St,40.72710258,-74.00297088,389,Broadway & Berry St,40.71044554,-73.96525063,42862,Subscriber,1990,1,"('128', '389')"
2028,2020-04-25 18:20:58.0040,2020-04-25 18:54:46.5410,128,MacDougal St & Prince St,40.72710258,-74.00297088,389,Broadway & Berry St,40.71044554,-73.96525063,19051,Customer,1969,0,"('128', '389')"
3796,2020-04-12 11:55:17.7930,2020-04-12 12:58:34.1230,128,MacDougal St & Prince St,40.72710258,-74.00297088,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,36962,Subscriber,1981,1,"('128', '460')"
1315,2020-04-18 18:50:58.4890,2020-04-18 19:12:54.3350,128,MacDougal St & Prince St,40.72710258,-74.00297088,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,33934,Subscriber,1987,1,"('128', '460')"
1384,2020-04-19 13:26:25.1890,2020-04-19 13:49:29.8160,128,MacDougal St & Prince St,40.72710258,-74.00297088,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,39747,Subscriber,1971,1,"('128', '460')"
3441,2020-04-19 14:34:54.0620,2020-04-19 15:32:15.8950,128,MacDougal St & Prince St,40.72710258,-74.00297088,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,27398,Customer,1969,0,"('128', '460')"
3398,2020-04-19 14:35:54.7040,2020-04-19 15:32:32.8350,128,MacDougal St & Prince St,40.72710258,-74.00297088,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,16482,Subscriber,1994,2,"('128', '460')"
907,2020-04-22 14:49:09.6380,2020-04-22 15:04:17.6060,128,MacDougal St & Prince St,40.72710258,-74.00297088,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,37274,Subscriber,1989,1,"('128', '460')"
1224,2020-04-24 15:33:35.0830,2020-04-24 15:53:59.9460,128,MacDougal St & Prince St,40.72710258,-74.00297088,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,43245,Subscriber,1987,1,"('128', '460')"
1459,2020-04-05 15:25:58.5600,2020-04-05 15:50:17.5990,128,MacDougal St & Prince St,40.72710258,-74.00297088,532,S 5 Pl & S 5 St,40.710451,-73.960876,20551,Subscriber,1993,2,"('128', '532')"
