trip_duration,start_time,stop_time,start_station_id,start_station_name,start_lat,start_lon,end_station_id,end_station_name,end_lat,end_lon,bike_id,user_type,birth_year,gender,od_pair
1197,2020-03-04 14:33:45.0430,2020-03-04 14:53:42.6240,127,Barrow St & Hudson St,40.73172428,-74.00674436,532,S 5 Pl & S 5 St,40.710451,-73.960876,40314,Subscriber,1991,1,"('127', '532')"
2141,2020-03-16 08:21:21.4030,2020-03-16 08:57:03.0840,127,Barrow St & Hudson St,40.73172428,-74.00674436,532,S 5 Pl & S 5 St,40.710451,-73.960876,39845,Customer,1979,1,"('127', '532')"
1451,2020-03-21 14:26:58.6320,2020-03-21 14:51:09.9890,127,Barrow St & Hudson St,40.73172428,-74.00674436,532,S 5 Pl & S 5 St,40.710451,-73.960876,31942,Subscriber,1991,1,"('127', '532')"
1426,2020-03-21 14:27:23.6720,2020-03-21 14:51:09.9190,127,Barrow St & Hudson St,40.73172428,-74.00674436,532,S 5 Pl & S 5 St,40.710451,-73.960876,39455,Subscriber,1992,2,"('127', '532')"
1423,2020-03-21 15:02:46.4530,2020-03-21 15:26:29.7070,127,Barrow St & Hudson St,40.73172428,-74.00674436,532,S 5 Pl & S 5 St,40.710451,-73.960876,28014,Subscriber,1989,1,"('127', '532')"
1394,2020-03-21 15:03:11.4070,2020-03-21 15:26:26.0400,127,Barrow St & Hudson St,40.73172428,-74.00674436,532,S 5 Pl & S 5 St,40.710451,-73.960876,14804,Subscriber,1989,1,"('127', '532')"
1381,2020-03-30 10:15:42.1650,2020-03-30 10:38:43.8220,127,Barrow St & Hudson St,40.73172428,-74.00674436,532,S 5 Pl & S 5 St,40.710451,-73.960876,20109,Subscriber,1989,1,"('127', '532')"
1536,2020-03-10 18:06:30.2220,2020-03-10 18:32:06.3570,128,MacDougal St & Prince St,40.72710258,-74.00297088,282,Kent Ave & S 11 St,40.707644944175705,-73.96841526031494,34398,Subscriber,1977,2,"('128', '282')"
1703,2020-03-08 16:10:52.8260,2020-03-08 16:39:16.3720,128,MacDougal St & Prince St,40.72710258,-74.00297088,3016,Kent Ave & N 7 St,40.72036775298455,-73.96165072917938,40569,Subscriber,1993,2,"('128', '3016')"
3740,2020-03-27 17:00:31.8050,2020-03-27 18:02:51.9770,128,MacDougal St & Prince St,40.72710258,-74.00297088,3016,Kent Ave & N 7 St,40.72036775298455,-73.96165072917938,42951,Subscriber,1989,1,"('128', '3016')"
