id,date,lat,lon
2932.01,202106,40.638799,-74.027472
294,201310,40.73049393,-73.9957214
295,201310,40.71406667,-73.99293911
2951.05,202103,40.639673,-74.008957
296,201310,40.71413089,-73.9970468
2961.05,202104,40.640125,-74.015726
297,201310,40.734232,-73.986923
297,201912,40.734,-73.986
2971.02,202103,40.639978,-74.02324
298,201310,40.68683208,-73.9796772
300,201310,40.728145,-73.990214
3000.08,202103,40.640831,-74.010996
3002,201310,40.711512,-74.015756
3007.05,202103,40.642031,-73.981073
301,201310,40.72217444,-73.98368779
301,202003,40.722,-73.983
3011.03,202103,40.641269,-74.017651
3014,201508,40.722852,-73.959114
3016,201508,40.771051856415305,-73.9643383026123
3016,201603,40.72072553412595,-73.96125912666321
3016,201604,40.72036775298455,-73.96165072917938
3017,201510,40.751483,-73.996764
3019,201510,40.716633,-73.981933
3019.02,202103,40.640493,-74.02564
302,201310,40.72082834,-73.97793172
303,201310,40.72362738,-73.99949601
3036,201607,40.68486874759393,-74.02544975280762
3036,201612,40.51797520038851,-74.0313720703125
3036,201706,40.88092055523877,-73.89660179615021
3036,201806,40.662907768316856,-73.99972200393677
3039,201510,40.75908809071208,-73.99375051281822
304,201310,40.70463334,-74.01361706
3040,201604,40.646678,-74.016263
3040,201705,40.66979964220026,-73.99497985839844
3041,201508,40.67890679,-73.94142771
3042,201508,40.6794268,-73.9298911
3043,201508,40.6814598,-73.934903
3044,201508,40.6800105,-73.938475
3046,201508,40.682601,-73.938037
3046.03,202103,40.643817,-73.977433
3047,201508,40.6823687,-73.944118
3047,202006,40.683,-73.944
3048,201508,40.68402,-73.94977
3049,201508,40.68488,-73.96304
305,201310,40.76095756,-73.96724467
305,201912,40.761,-73.968
3050,201508,40.6851532,-73.94111
3050.03,202103,40.642408,-74.013318
3052,201508,40.686312,-73.935775
3053,201508,40.6900815,-73.947915
3054,201508,40.6894932,-73.942061
3055,201508,40.6883337,-73.950916
3056,201508,40.69072549,-73.95133465
3056,202001,40.692,-73.95
3056.05,202103,40.643546,-73.986418
3057,201508,40.69128258,-73.9452416
3057,202001,40.692,-73.944
3058,201508,40.69237074,-73.93705428
3059,201508,40.6933982,-73.939877
306,201310,40.70823502,-74.00530063
3060,201508,40.69425403,-73.94626915
3061,201508,40.69622937,-73.94371094
3062,201508,40.69539817,-73.94954908
3062,201912,40.695,-73.95
3063,201508,40.69527008,-73.95238108
3064,201508,40.69681963,-73.93756926
3065,201508,40.70029511,-73.95032283
3066,201508,40.69957608,-73.94708417
3067,201508,40.7016657,-73.9437303
3068,201508,40.7031724,-73.940636
3069,201508,40.70411791,-73.94818595
307,201310,40.71427487,-73.98990025
3070,201508,40.70510918,-73.94407279
3071,201508,40.70538077,-73.94976519
3072,201508,40.70583339,-73.94644578
3072,202002,40.707,-73.947
3073,201508,40.70691254,-73.95441667
3074,201508,40.70767788,-73.94016171
3074,202003,40.707,-73.941
3075,201508,40.70708701,-73.95796783
3076,201508,40.70870368,-73.9448625
3077,201508,40.70877084,-73.95095259
3077,202001,40.71,-73.95
3078,201511,40.70925562,-73.95982218
3078,201704,40.70924826276157,-73.96063148975372
3078,202002,40.71,-73.962
3079,201508,40.71103537,-73.94714303
308,201310,40.71307916,-73.99851193
308,202003,40.713,-73.998
3080,201509,40.70934,-73.95608
3081,201508,40.711863,-73.944024
3082,201509,40.71167351,-73.95141312
3083,201508,40.71247661,-73.94100005
3084,201508,40.71348658,-73.94792458
3084.05,202103,40.642703,-74.009441
3085,201509,40.71469,-73.95739
3086,201508,40.715143,-73.944507
3086,202002,40.716,-73.944
3087,201508,40.71413311,-73.95234386
3088,201508,40.7160751,-73.952029
3089,201511,40.717318403855785,-73.94820213317871
309,201310,40.7149787,-74.013012
3090,201508,40.71774592,-73.95600096
3090.06,202103,40.642809,-73.979239
3091,201508,40.71764,-73.94882
3092,201508,40.7190095,-73.95852515
3092,202001,40.719,-73.959
3093,201508,40.71745169,-73.95850939
3093,202001,40.716,-73.959
3093.07,202103,40.642622,-74.016866
3094,201508,40.7169811,-73.94485918
3095,201508,40.71929301,-73.94500379
3096,201511,40.71924,-73.95242
3097,201508,40.71921585,-73.9424469
3098,201508,40.71928,-73.94861
3099,201510,40.72152240339303,-73.94898265600203
310,201310,40.68926942,-73.98912867
310,202002,40.689,-73.989
3100,201603,40.724812564400175,-73.94752621650696
3100,202001,40.725,-73.947
3101,201508,40.72079821,-73.95484712
3101,202002,40.722,-73.956
3102,201508,40.72179134,-73.9504154
3103,201508,40.72153267,-73.95782357
3104,201508,40.72057658,-73.96150225
3105,201508,40.724055,-73.955736
3106,201508,40.72325,-73.94308
3106,202001,40.722,-73.944
3107,201508,40.72311651,-73.95212324
3107,202001,40.722,-73.953
3108,201508,40.72557,-73.94434
3108,202002,40.725,-73.944
3109,201508,40.72606,-73.95621
311,201310,40.7172274,-73.98802084
311,202003,40.716,-73.989
3110,201508,40.72708584,-73.95299117
3110,201912,40.728,-73.953
3111,201508,40.7258483,-73.95064893
3112,201508,40.72906,-73.95779
3112,202003,40.728,-73.959
3113,201508,40.73026,-73.95394
3113,202001,40.731,-73.953
3114,201508,40.73165141,-73.96161892
3115,201508,40.73232194,-73.9550858
3116,201510,40.73266,-73.95826
3117,201508,40.73564,-73.95866
3117,202003,40.737,-73.959
3117.05,202103,40.644743,-74.003754
3118,201508,40.73555,-73.95284
3118,202002,40.737,-73.953
3119,201508,40.74232744,-73.95411749
3119,202001,40.743,-73.953
312,201310,40.722055,-73.989111
3120,201508,40.74161,-73.96044
3121,201508,40.74524768,-73.94733276
3122,201510,40.74436328706688,-73.9558732509613
3122,202001,40.743,-73.956
3123,201508,40.74469738,-73.93540375
3123,202001,40.746,-73.935
3124,201508,40.74731,-73.95451
3125,201508,40.74708586,-73.94977234
3125,202001,40.746,-73.95
